baseMean	log2FoldChange	lfcSE	pvalue	padj	gene
992.976809112604	-3.69359149825454	0.423271138347162	2.06520949991179e-19	7.43991722343221e-17	g1455
1021.23269498796	-4.07824372884432	0.564800919241094	3.42973845693938e-14	4.94225311644964e-12	g826
2273.62393232498	-2.77321970876457	0.380052102002496	3.13173077040164e-14	4.94225311644964e-12	g1308
324.715689408158	-4.17608805114141	0.58126811370256	5.40140505012286e-14	6.88431721798815e-12	g1426
332.657330791893	-6.12269705142724	0.871136057052908	1.60519344233852e-13	1.65220267886414e-11	g2292
373.294734996074	-3.85372846484813	0.571984613506628	1.30477123562472e-12	1.04657651650036e-10	g1306
736.950342572034	-2.31267677817608	0.339665269672933	1.30731278952162e-12	1.04657651650036e-10	g1646
708.549303944229	-2.98754984323386	0.44955683772592	2.91348420108335e-12	2.20964775461111e-10	g1307
82.866521539331	-10.7355097998627	3.13322963833756	3.190235687858e-12	2.29856481310169e-10	g177
1192.58073512929	-3.10765374560684	0.493102111491184	2.5578355642166e-11	1.47433641921445e-09	g153
671.723093271863	-4.68894209839162	0.769656167585019	6.59116410334848e-11	3.65302595112506e-09	g967
1179.72871880139	-2.07449306000612	0.340545842678273	1.74329039323724e-10	8.3736048555162e-09	g1231
74.0064525976265	-5.01082340153532	0.865096880349201	3.08197346463289e-10	1.3878511757925e-08	g213
120.854147293478	-4.16834824196626	0.729860819739691	7.06105176691682e-10	2.74999340435869e-08	g1031
582.237169335207	-3.25633321281212	0.576899706889319	1.35518954601427e-09	4.88207033951642e-08	g1024
239.978875922998	-3.55188748721754	0.634362327991664	1.70665593880467e-09	5.99827123857934e-08	g837
175.091219049865	-2.5672988276007	0.453522143811594	1.8072027897843e-09	6.20042671447424e-08	g1647
59.2440978399256	-4.93407139316738	0.916903961298779	3.02018487579693e-09	9.92070534785709e-08	g666
4700.50406642612	-2.56883049276589	0.47080451276422	5.23759030429825e-09	1.67719280633195e-07	g717
240.407991263428	-2.29493687892449	0.422181914722603	7.16084417636232e-09	2.17819018849097e-07	g619
872.117278024277	-3.24546125223729	0.624501380858231	1.61995070415404e-08	4.57715483271759e-07	g2193
224.601148903183	-2.57904815123555	0.501392905163511	3.02133574977913e-08	7.77454431327094e-07	g2290
763.347579553951	-2.09769787275658	0.404753790843683	3.29091869612899e-08	8.31967340547697e-07	g652
477.623794629668	-2.22792628741345	0.432525216056962	3.50869378735111e-08	8.71728921995337e-07	g615
46.7682986634701	-6.68778645892989	1.26407495362729	4.06337545736306e-08	9.92427802383079e-07	g762
113.163249861944	-2.80431316643291	0.556450737271995	4.82947637481067e-08	1.1598792426837e-06	g1437
2069.32726265945	-2.18579058793889	0.434293257026798	6.5936809976337e-08	1.55762201927708e-06	g2101
164.125924958644	-3.52231104519018	0.719863173641538	7.58341657185394e-08	1.76253278710347e-06	g374
2145.83898661434	-3.73346510955223	0.777825531867338	9.99936085775993e-08	2.28715539619556e-06	g2015
77.7192201323884	-2.90298978129347	0.606495568767856	1.46932028349576e-07	3.30826645080842e-06	g1489
1471.61884381548	-2.06495272248213	0.425552283274196	1.82101251059668e-07	3.85893974672032e-06	g10
730.837852514249	-2.0979863970513	0.435869686117374	2.1699676942364e-07	4.46703349627807e-06	g161
344.902811726502	-3.38756862478047	0.734941357014249	2.8598480875844e-07	5.72366818640156e-06	g497
4439.05249653675	-2.11075670585403	0.445215620746515	2.97457101313123e-07	5.87172168482479e-06	g2240
437.962079125387	-1.8360007778776	0.383326113206452	3.10049807981993e-07	6.0375915311088e-06	g1182
809.754983786794	-1.94472274649323	0.414304971945716	4.41975486597473e-07	8.20682412401864e-06	g1985
509.383790817797	-3.25112907076184	0.719003704631855	4.40056322738485e-07	8.20682412401864e-06	g2323
1710.99825629372	-2.67981281171694	0.585224223275352	4.44227815179357e-07	8.20682412401864e-06	g2339
34.2570747348126	-8.98493628881983	3.17019007188876	5.55938979849911e-07	1.01406084805534e-05	g1255
1030.73356678994	-1.9527094860607	0.422117051106662	6.16538751477452e-07	1.11054042609876e-05	g1509
1314.90034306567	-1.63360968323431	0.351312932066966	7.56460394316912e-07	1.31332461230201e-05	g2209
1229.90445815604	-1.65582454657461	0.360174416129837	9.53567104597675e-07	1.62009595528684e-05	g1624
551.184910125334	-2.36053386505665	0.53266071495139	1.08828293236522e-06	1.82350663434684e-05	g1511
952.008260267542	-2.61307236026752	0.597154099697417	1.19212006691013e-06	1.9745345016293e-05	g2289
7743.00309662995	-1.46583172517835	0.326742456015703	2.1389229963867e-06	3.38701982175081e-05	g2210
389.930427924366	-1.46890457550071	0.335492906435119	3.26345045090671e-06	4.95013905237533e-05	g1627
