baseMean	log2FoldChange	lfcSE	pvalue	padj	gene
536.812506534102	4.92071146802583	0.519735884350786	2.03488630163687e-22	2.93227116065873e-19	g1073
154.995545771636	5.06824960246015	0.551047041508019	3.18001240336352e-21	2.29119893662341e-18	g1229
260.174446628771	4.53644910204034	0.513065692396985	6.56733957682045e-20	3.15451211006609e-17	g1745
588.428328860821	3.6216387563612	0.438408055647795	1.21100374651076e-17	3.490112797444e-15	g1835
36665.467666386	4.17405709113637	0.530019204176671	2.87004610529218e-16	6.89289406287671e-14	g348
78.8744414096456	5.63578778069547	0.733544143015127	2.26607102444656e-15	4.66486906603928e-13	g369
7453.05142183269	3.40613636007803	0.46782139530767	3.04519526674715e-14	4.94225311644964e-12	g2025
96.3889552258962	5.26196373287924	0.732475304359498	5.73294979985134e-14	6.88431721798815e-12	g17
1107.6512075204	3.84017563909997	0.539596654751118	8.34419713300327e-14	9.24922159127517e-12	g1653
2916.95830164143	2.38482828110692	0.335968024321416	1.79714145424482e-13	1.72645389037786e-11	g1493
63.1561046910769	4.35340225067021	0.625524978173039	3.02755258543065e-13	2.72668954725348e-11	g1737
71.4739017917022	4.99685008667162	0.759864077098074	3.70777749205213e-12	2.54424160287958e-10	g1104
274.932787767821	3.21793151228866	0.499813232652752	1.04150706755436e-11	6.82187129248107e-10	g1322
57.3241236877261	5.07587296601485	0.790480072204408	1.15807218229156e-11	7.25557397687886e-10	g1870
1858.47318650208	3.31687361921135	0.518045494283514	1.33760887491e-11	8.03122661977211e-10	g2119
43.11768035808	9.74106632957134	2.92866511273957	8.61279145299812e-11	4.5966786976927e-09	g1109
13647.4668692316	3.47282754138512	0.570278941630808	8.9929151998719e-11	4.6281395725055e-09	g393
10593.6451978971	2.975740730282	0.493259886584496	1.61939117758359e-10	8.04669892033776e-09	g2163
2346.34105715013	2.20035687935994	0.365909862233127	2.62454775417486e-10	1.21999139153741e-08	g442
45.2982684092749	9.77740236300704	2.9736018344656	3.91132777386659e-10	1.64622370147198e-08	g1076
356.659870002738	2.78896875125024	0.473408365528215	3.99846145395693e-10	1.64622370147198e-08	g1709
129.951870528493	3.28778296055232	0.560906979648483	3.89160346876753e-10	1.64622370147198e-08	g1849
752.323254796748	2.03764997043316	0.341670955997407	4.16527101324899e-10	1.6672654250255e-08	g1282
37.6214889840607	5.98475429057903	1.01349772629746	1.03169700541312e-09	3.91230364421133e-08	g1337
885.221491969444	3.9382190212042	0.698631042658717	1.18517798968789e-09	4.37908072600062e-08	g1440
118.932987896482	4.72149759996924	0.866668100407775	3.02922300697926e-09	9.92070534785709e-08	g865
198.093975621715	3.1991473676979	0.592108893570717	5.63390358233429e-09	1.76488153524863e-07	g325
255.536004905024	3.39016221396478	0.635180100401496	7.25559535375203e-09	2.17819018849097e-07	g1673
288.075154090348	2.53006719839825	0.470691621132945	8.95936774663148e-09	2.63478549446856e-07	g1013
617.917163650679	1.89773455692347	0.353915252217105	1.52513779453902e-08	4.39544712386145e-07	g1293
1094.5150958738	2.63847867610569	0.503125949223412	1.7287194188005e-08	4.79054746632983e-07	g720
37401.7327523023	2.21543240442101	0.424432604694134	2.61756663369348e-08	7.11681796066472e-07	g621
43.5093776743301	3.78108447374944	0.742726065349776	2.78006307988687e-08	7.41864981132773e-07	g560
68.3332764956167	3.32737455521588	0.654272334355963	2.87518150973111e-08	7.5329755554955e-07	g1640
29.9517502205813	4.61796378222986	0.964982636493466	1.64163353161454e-07	3.58423321069174e-06	g778
1319.26530613636	2.16775870558973	0.443377176669558	1.61789610045978e-07	3.58423321069174e-06	g1482
1646.4821312212	1.8810918710645	0.383035910346649	1.70909535380394e-07	3.67583045497235e-06	g1984
9116.57349930832	2.84129151055232	0.600565623123041	2.10669103828523e-07	4.39962577705655e-06	g1652
102.34970778408	3.60148840424666	0.77707828286538	2.53548246732609e-07	5.14595807805196e-06	g1107
57.4260756196386	3.56894898454104	0.785935744045127	4.15296766997865e-07	7.97923521658565e-06	g597
1916.2466815776	1.68456535114324	0.35968194867824	6.47449892476049e-07	1.15182135192344e-05	g2090
20.9018063951987	8.31087654424702	2.94979826538447	6.64679070645135e-07	1.16805187902395e-05	g696
20094.2917430659	2.82782341240162	0.6378278475668	9.55642999301744e-07	1.62009595528684e-05	g1654
32.2038028055748	5.12257920913656	1.19294234162617	1.26183800026332e-06	2.06625972543118e-05	g2143
501.451679789117	3.15431579290249	0.737666575457681	1.4940176529673e-06	2.41896566059088e-05	g2123
2952.12815897719	1.57240646949511	0.348742806913337	1.6300125421422e-06	2.60983119247434e-05	g1438
136.417244015078	4.49934139128966	1.10919328839352	2.51814347829821e-06	3.94417907850839e-05	g208
260.881222374324	1.9387472694422	0.447548255941333	2.56252785346254e-06	3.97054046971992e-05	g443
260.128286862433	2.04775072132732	0.481531149851422	3.26242111311585e-06	4.95013905237533e-05	g595
1089.05694213796	2.59508180482808	0.659145223855723	8.43600481202276e-06	0.000113610120879671	g1655
861.328604013662	1.58542882335163	0.385535070867911	9.54598070560915e-06	0.00012505234724348	g1868
39.6665356450838	3.8282276552533	1.02603746592544	1.26627029706074e-05	0.000160061008602152	g1087
3848.22460253131	1.9979812783296	0.509942190184042	1.479448920587e-05	0.000177657157880488	g2203
3791.79539716924	1.83543613475095	0.471195077712578	1.8941551363195e-05	0.000221908744019219	g221
42.2498787101726	3.04952795994872	0.83368646833365	2.06766888237639e-05	0.000236469115833681	g1900
22.109180679456	3.81443226781446	1.06223629537382	2.50403140220007e-05	0.000281899160200805	g944
20.5902322606247	3.91832319811419	1.10102032732567	2.90411986978797e-05	0.000317033085785187	g209
1313.27203862151	1.51493612724122	0.391602013727844	2.88550701106983e-05	0.000317033085785187	g1230
546.566566451012	2.06045910566741	0.554628024543688	3.00166856416476e-05	0.000325218376012137	g1708
22.1107982557536	3.40868814690385	0.971990234219368	3.3242264940043e-05	0.000357478386407478	g335
3015.5184004296	1.40523375305305	0.367223253466662	3.73835321038295e-05	0.000399034590826803	g659
4098.75220965651	1.4524208078126	0.381354289228449	4.03770408365731e-05	0.000421618230764506	g1326
254.97938540526	3.00800829048967	0.882596843617344	4.73428530322903e-05	0.000487293222996645	g1273
257.79956856799	1.73952861160784	0.477910915302801	5.33955830128054e-05	0.00054569528454931	g1074
261.20089326998	1.42925659361192	0.382965746727427	5.40505644867461e-05	0.00054849903820705	g1018
751.151818089696	1.56462678113373	0.424525454231973	5.56490876186999e-05	0.000553036794886528	g2031
398.993335884632	1.67549313145104	0.460059833374701	5.68073045460884e-05	0.000560680314047352	g222
28.1251793999001	4.27563013373914	1.31162719261621	6.58581541928053e-05	0.000636923491220352	g1607
726.886212257975	1.97831649385622	0.561483745668035	6.54886185631445e-05	0.000636923491220352	g2148
181.42245946432	2.7223791783758	0.811239431417545	6.81436511377053e-05	0.000650298021784326	g1603
879.490132560424	1.60808726459466	0.446069752751044	7.0207766311611e-05	0.000665588100362049	g1302
3093.00110018127	1.87157956229577	0.52853654750671	7.13711695591645e-05	0.000672195132906903	g353
1194.24724445592	1.47049302395118	0.404114494589174	7.5563349839003e-05	0.000702495400761312	g655
452.518747410899	1.94232326113877	0.559117933746906	8.07077550021504e-05	0.000745512018962171	g842
563.659871109679	1.22958898476208	0.333216118968262	8.25611396604818e-05	0.000757774536629008	g1613
4626.56734179412	1.41299093443993	0.391686220321108	9.25071254651936e-05	0.0008331422987209	g1766
9683.93268168634	1.32786418710933	0.365232376738862	9.48143713373651e-05	0.000848618068926355	g173
45.8355509721186	2.87870524253285	0.892354465431827	9.71881141880845e-05	0.000861107626851671	g422
1322.89903110646	1.50650175037656	0.426871066270997	0.000107262245195258	0.000931113827267269	g1323
94.786675937548	2.03211751120749	0.604089604658926	0.000111600402584	0.000955181492488409	g1206
58.9833154294338	1.88998648460669	0.555306383575082	0.00011192520218466	0.000955181492488409	g1614
43.7925850726409	2.34623621355825	0.718907697137684	0.000124176828487135	0.00103432838063561	g561
1090.22441990018	1.55303338402763	0.448851279933495	0.000134626942571713	0.00110855670997622	g1908
15932.7049211025	2.56302470861077	0.798813037086493	0.000136395939707427	0.001113717999833	g418
1795.98414069251	1.17037799195073	0.327145426937812	0.000137658228127858	0.001113717999833	g777
1342.08202371078	1.36994892732495	0.392526684244784	0.000148623225115792	0.00118323794139147	g1477
17.156967039477	3.3273179160024	1.08541689504287	0.000160902931764679	0.00125330337661028	g366
24.6184076502834	3.24821232387783	1.07999943908899	0.000185287625311037	0.00140526035828003	g1937
165.765117010744	1.64538178708124	0.494243206221375	0.00018639411981847	0.00140625092491317	g1174
1249.26452106962	1.08993294746629	0.309527226621703	0.000188849709449873	0.00141735641311076	g1678
127.172058828329	1.74004733142224	0.537831034073556	0.000228838088531542	0.00169977157512346	g2055
1413.46099879701	1.19182869642238	0.348800442744984	0.000237416254084216	0.0017454939904865	g861
791.862406259816	1.41340617059247	0.423018461108461	0.000239386685922828	0.00175104677367916	g594
41.010220355461	2.30437793467668	0.758145750735644	0.000262551555610474	0.00188227259519748	g1315
21.8079611154929	3.16511267320277	1.09963010565081	0.000279912408115051	0.00199320987457389	g1214
3198.84739515424	1.11928412843308	0.334900021882192	0.0003382249225479	0.0023637594151964	g744
799.396372493623	1.47577146270294	0.465267739232921	0.000395618046184117	0.00267924857550736	g406
8.69479805287795	4.65599556917545	1.7587876206625	0.000396030497281796	0.00267924857550736	g631
4380.38431902699	1.11230184086331	0.339080301154994	0.00039811516114921	0.00268076610848604	g1086
3620.66153461324	1.08402989390602	0.32811321545848	0.00041970599951997	0.0027870799322962	g1981
15.4253688120033	4.59230284704818	1.73568629844504	0.00053961154410186	0.00344814098290406	g354
64.4101294103223	3.25128671377253	1.2705046977414	0.000540791021607437	0.00344814098290406	g1390
563.749856404553	1.1106651447033	0.34621752117304	0.000561629878304231	0.00354959936244034	g1677
1041.94570422839	1.68492340687306	0.569934020749606	0.00060716622808312	0.00378756075613756	g332
844.547265394295	1.25786109408787	0.403109587268258	0.000604636305635482	0.00378756075613756	g405
1005.69160643067	1.38026716326674	0.449017203635564	0.000620882820966409	0.00385643165953705	g820
15.1811755903733	2.63397031841505	0.98318947025513	0.000673874119127919	0.00416760774962803	g1750
1944.56325496522	1.32177120074076	0.435532196520179	0.000758680210133989	0.00459352177648352	g1674
3838.25787119297	1.20131968194209	0.390372603893396	0.000782373946103553	0.00469750356806342	g1866
676.934970922072	1.07661507685862	0.349458550978927	0.000902726908131395	0.00526651609156818	g970
674.019423039435	1.01413088225614	0.327587670167261	0.000935169607772098	0.00541196548112286	g1710
2330.73674950419	1.7236766054468	0.616909925842756	0.000956402607976962	0.00551270463237921	g1283
11.1221421586133	3.66953409795173	1.48901511477069	0.000983023461005197	0.00564357293748402	g1888
34.2667092506429	1.80724658590494	0.662512345112282	0.00107493404654955	0.00607443121991336	g444
9.10592759186172	6.04212136722416	3.4467395203466	0.00109444764746575	0.00615512413652053	g1515
48.6874628396848	1.74400664110401	0.643085722571767	0.00117380314162747	0.00655600901971001	g562
1402.84378111604	1.11201145081646	0.379425835199067	0.0014234883791821	0.00782918608550156	g773
967.395264801825	1.01916654156016	0.346529723722379	0.00152999125395122	0.00822655745128248	g1314
2443.14903573251	1.29123584462024	0.454339568521926	0.00155400915643214	0.0083246364104785	g2132
3238.40100531417	1.52877283204554	0.567340718868915	0.00162129067020514	0.00858926417560884	g540
40.3880349023163	2.35571243854801	1.01366434868777	0.00174928789872257	0.00919972212430374	g1110
282.911295192433	1.18677202529458	0.420830039256847	0.00175769273287322	0.00921030992025566	g654
2229.89150637757	1.30493133804674	0.47113863059857	0.00187835675880707	0.00967879866771382	g1325
456.713973246314	1.16982274511407	0.416974100360414	0.00187620705995953	0.00967879866771382	g2128
52.4371704431862	1.65322270464485	0.644060064294772	0.00192622368481665	0.00984286641780425	g2380
506.466265258567	1.16186433912191	0.416690095964407	0.00200830531657955	0.0101900280323632	g2189
12.2773821317725	2.6372162259526	1.19570361925938	0.00210455287636293	0.0106037087232132	g690
36.281358424183	1.89411215463577	0.786121631667715	0.00218150891075253	0.0109531510118272	g923
2511.53267490833	1.00415430192083	0.354460335745444	0.00222909060594273	0.0110762743557361	g941
22.3466807350783	2.09329064813682	0.894419427714102	0.00230302673676248	0.0114043351466486	g1292
6215.6602370431	2.01659146023944	0.859986124780515	0.00233541425591132	0.0114467072883272	g171
2855.85632332129	1.22993246518444	0.45400188256351	0.00232775336163091	0.0114467072883272	g467
113.711185321106	1.79645715754889	0.751635187387474	0.00255652850932233	0.0124038975822676	g1316
5.54114477321469	5.0099872911886	3.42393868876066	0.00257004199006539	0.0124276191533027	g474
2770.57186824365	1.44554138011386	0.567314808479447	0.00270110291062818	0.012974297647384	g2118
3030.68558544076	1.07499410731907	0.39935572760929	0.00309555269691309	0.0146252178237763	g2214
11816.2106401775	1.39033093729004	0.555467646805141	0.00348422104067247	0.016196008127771	g1699
228.43794577795	1.15489973614638	0.444927843332425	0.00355588741950553	0.016423185165088	g1338
417.097048822524	1.3259977135911	0.532424432556041	0.0036669505062453	0.0167748434269825	g1523
7.60017515604963	3.2748022424608	1.75132971890404	0.00384047803086333	0.0174763558446205	g60
45.0880711052239	1.5575806478203	0.662161438222422	0.00384455572709556	0.0174763558446205	g1992
116.33392025442	1.26156175474907	0.512741958846758	0.0043715063062792	0.0195026024376109	g228
240.403484370927	1.39601070280845	0.5963335305634	0.0048718865832139	0.0214051253420649	g1922
10303.6606060884	1.0447071359836	0.403439488705982	0.00488998532722678	0.0214178384697076	g774
31.7530624244787	2.31871359384816	1.27711808058434	0.00492557642561257	0.0214433704812922	g121
41.883837129008	1.61480825111911	0.730568611792314	0.00491814341092296	0.0214433704812922	g844
