# BUSCO version is: 5.8.2 
# The lineage dataset is: archaea_odb12 (Creation date: 2025-05-14, number of genomes: 157, number of BUSCOs: 195)
# Busco id
10058at2157
10073at2157
10127at2157
10348at2157
10382at2157
10429at2157
10470at2157
10536at2157
10567at2157
10698at2157
10737at2157
10899at2157
10943at2157
10981at2157
11138at2157
11309at2157
115235at2157
11624at2157
117390at2157
11877at2157
12054at2157
129238at2157
14397at2157
146558at2157
147673at2157
15051at2157
15212at2157
15328at2157
15447at2157
17644at2157
1798at2157
19001at2157
19013at2157
1912at2157
204488at2157
23569at2157
23689at2157
24205at2157
24971at2157
25735at2157
25810at2157
27149at2157
275101at2157
27533at2157
27944at2157
27972at2157
295712at2157
30537at2157
30538at2157
30559at2157
30639at2157
30658at2157
30823at2157
30930at2157
30955at2157
30957at2157
31129at2157
31271at2157
31300at2157
31424at2157
314984at2157
314at2157
32941at2157
33049at2157
33250at2157
33582at2157
33866at2157
34207at2157
35104at2157
35866at2157
35908at2157
36608at2157
371736at2157
371754at2157
371797at2157
371812at2157
371836at2157
371856at2157
371863at2157
371914at2157
371959at2157
371997at2157
372008at2157
372011at2157
372044at2157
372073at2157
372100at2157
372102at2157
372108at2157
372134at2157
372142at2157
372177at2157
372178at2157
372188at2157
372247at2157
372251at2157
372305at2157
38155at2157
38238at2157
39019at2157
39139at2157
39189at2157
39992at2157
4116at2157
43788at2157
44091at2157
45138at2157
45154at2157
45195at2157
45346at2157
45383at2157
45909at2157
46081at2157
4696at2157
52456at2157
52479at2157
52677at2157
52769at2157
52849at2157
53273at2157
55506at2157
5615at2157
5619at2157
56356at2157
5670at2157
5718at2157
5866at2157
5877at2157
5935at2157
5987at2157
60264at2157
6075at2157
6113at2157
6121at2157
6244at2157
6290at2157
6295at2157
6379at2157
6533at2157
65493at2157
6575at2157
65887at2157
6605at2157
6874at2157
7000at2157
7144at2157
7146at2157
7259at2157
7316at2157
7375at2157
7378at2157
7506at2157
7529at2157
7620at2157
7668at2157
7751at2157
7792at2157
7793at2157
7798at2157
7870at2157
7902at2157
7912at2157
7927at2157
8183at2157
8293at2157
8389at2157
84504at2157
84643at2157
84794at2157
8479at2157
84933at2157
8493at2157
85118at2157
85381at2157
85892at2157
8643at2157
8644at2157
8656at2157
8658at2157
8659at2157
8680at2157
8831at2157
8842at2157
8904at2157
9126at2157
94124at2157
9418at2157
9465at2157
9473at2157
9593at2157
9883at2157
9887at2157
